,module,kME,kIN,rename
FFA 14_1,red,0.696291513796484,1.22760698363298,M25-FFA 14_1
FFA 15_0,red,0.763863098460312,1.75073291073853,M25-FFA 15_0
FFA 16_0,red,0.841394092809135,3.34609757659175,M25-FFA 16_0
FFA 16_1,red,0.795902563098128,2.39183209971319,M25-FFA 16_1
FFA 16_2,red,0.76304041885439,2.15703029616582,M25-FFA 16_2
FFA 16_3,red,0.792854233195227,2.34978272480408,M25-FFA 16_3
FFA 17_0,red,0.907429692211963,4.51738105598568,M25-FFA 17_0
FFA 17_1,red,0.908698661483257,4.2968932644874,M25-FFA 17_1
FFA 18_0,red,0.862191984998934,3.47292658676081,M25-FFA 18_0
FFA 18_1,red,0.898692894429022,4.22625707812326,M25-FFA 18_1
FFA 18_2,red,0.881894662796729,4.126963962462,M25-FFA 18_2
FFA 18_3,red,0.811681917418305,2.43373116047521,M25-FFA 18_3
FFA 19_0,red,0.676189237294869,0.971946537725817,M25-FFA 19_0
FFA 19_1,red,0.903280719548669,4.0214232395287,M25-FFA 19_1
FFA 20_0,red,0.317927281650333,0.133497446405421,M25-FFA 20_0
FFA 20_1,red,0.853188200937783,2.88206821028153,M25-FFA 20_1
FFA 20_2,red,0.903274859096902,4.2598091232391,M25-FFA 20_2
FFA 20_3,red,0.857879862060688,3.12455438164787,M25-FFA 20_3
FFA 20_4,red,0.672288266717841,1.0967060935035,M25-FFA 20_4
FFA 20_5,orange,0.853499566237638,0.272840231434383,M21-FFA 20_5
FFA 22_0,red,0.887354792371307,3.88820397507924,M25-FFA 22_0
FFA 22_1,red,0.442886889063071,0.202748547181538,M25-FFA 22_1
FFA 22_2,red,0.871364255076544,3.47329270704498,M25-FFA 22_2
FFA 22_5,orange,0.897658197968837,0.39209500230041,M21-FFA 22_5
FFA 22_6,orange,0.961647492292369,0.520454234593023,M21-FFA 22_6
FFA 24_0,red,0.413888736604955,0.178971827539261,M25-FFA 24_0
FFA 24_1,red,0.696299348622715,1.15978418993999,M25-FFA 24_1
Pyrrolidine,purple,0.753886334254674,0.281762468721948,M24-Pyrrolidine
Valerolactam,grey,-0.0242007421176716,0.00358851422698758,M14-Valerolactam
Choline,purple,0.574596294882044,0.0245706126036911,M24-Choline
proline,purple,0.566192679660039,0.0202957264632384,M24-proline
leucine,purple,0.849379692597369,0.303054106921099,M24-leucine
Indoline,purple,0.601986059707346,0.0359828638620052,M24-Indoline
