	species	species_pct	genus	genus_pct	family	family_pct	order	order_pct	phylum	phylum_pct
T2DCAG00555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00558	NA	NA	NA	NA	NA	NA	Clostridiales	71	Firmicutes	74
T2DCAG00559	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	70
T2DCAG00560	Dorea formicigenerans	100	Dorea	100	Lachnospiraceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00561	NA	NA	Alistipes	72	Rikenellaceae	72	Bacteroidales	86	Bacteroidetes	86
T2DCAG00562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00563	NA	NA	NA	NA	Veillonellaceae	74	Selenomonadales	76	Firmicutes	82
T2DCAG00564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00565	NA	NA	Bacteroides	76	Bacteroidaceae	76	Bacteroidales	87	Bacteroidetes	87
T2DCAG00566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00568	NA	NA	Alistipes	79	Rikenellaceae	79	Bacteroidales	86	Bacteroidetes	86
T2DCAG00569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00570	NA	NA	NA	NA	NA	NA	Clostridiales	81	Firmicutes	82
T2DCAG00571	Ruminococcaceae bacterium	74	Ruminococcaceae	74	NA	NA	Clostridiales	78	Firmicutes	79
T2DCAG00572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00575	NA	NA	NA	NA	NA	NA	NA	NA	Bacteroidetes	71
T2DCAG00576	Alistipes sp._JC136	92	Alistipes	95	Rikenellaceae	95	Bacteroidales	98	Bacteroidetes	98
T2DCAG00577	Ruminococcaceae bacterium	98	Ruminococcaceae	98	NA	NA	Clostridiales	76	Firmicutes	77
T2DCAG00578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00581	NA	NA	NA	NA	NA	NA	Clostridiales	75	Firmicutes	76
T2DCAG00582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00583	NA	NA	Clostridium	85	Clostridiaceae	85	Clostridiales	88	Firmicutes	91
T2DCAG00584	NA	NA	Clostridium	85	Clostridiaceae	85	Clostridiales	87	Firmicutes	90
T2DCAG00585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00589	NA	NA	Fusobacterium	85	Fusobacteriaceae	86	Fusobacteriales	87	Fusobacteria	87
T2DCAG00590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00596	NA	NA	NA	NA	Erysipelotrichaceae	72	Erysipelotrichales	72	Firmicutes	86
T2DCAG00597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00601	Dialister succinatiphilus	78	Dialister	81	Veillonellaceae	82	Selenomonadales	83	Firmicutes	87
T2DCAG00602	Blautia hydrogenotrophica	100	Blautia	100	Lachnospiraceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00605	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	70
T2DCAG00606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00609	Prevotella copri	86	Prevotella	93	Prevotellaceae	93	Bacteroidales	94	Bacteroidetes	95
T2DCAG00610	Victivallis vadensis	71	Victivallis	71	NA	NA	NA	NA	NA	NA
T2DCAG00611	NA	NA	Clostridium	87	Clostridiaceae	87	Clostridiales	89	Firmicutes	90
T2DCAG00612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00614	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	73
T2DCAG00615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00616	Parasutterella excrementihominis	97	Parasutterella	97	Sutterellaceae	97	Burkholderiales	97	Proteobacteria	97
T2DCAG00617	NA	NA	NA	NA	NA	NA	Clostridiales	75	Firmicutes	77
T2DCAG00618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00619	Lachnospiraceae bacterium	100	Lachnospiraceae	100	NA	NA	Clostridiales	91	Firmicutes	92
T2DCAG00620	NA	NA	Coprobacillus	72	Erysipelotrichaceae	76	Erysipelotrichales	76	Firmicutes	89
T2DCAG00621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00622	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	75
T2DCAG00623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00624	NA	NA	Sutterella	74	Sutterellaceae	75	Burkholderiales	78	Proteobacteria	81
T2DCAG00625	Ruminococcus sp._SR1/5	92	Ruminococcus	95	Ruminococcaceae	95	Clostridiales	96	Firmicutes	96
T2DCAG00626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
